college name,college location,latitude,longitude,cluster
AIMS Institutes,https://maps.app.goo.gl/zw8TQXShJBrqdw1T9,13.0351684,77.5197978,cluster_1
Ramaiah Institute of Technology,https://maps.app.goo.gl/EYUKPkHvLfzMNUBH9,13.0307644,77.5651459,cluster_1
Presidency College,https://maps.app.goo.gl/2eRgSchHNnK62s5h7,13.0501929,77.597946,cluster_1
Sambhram Academy Of Management Studies,https://maps.app.goo.gl/EykXiiaDj9hMQXkE7,13.0902924,77.5459153,cluster_1
GT Institute Of Management,https://maps.app.goo.gl/nnVfA9CKgHXTULeW7,12.9893188,77.5068531,cluster_1
Mount Carmel College Autonomous,https://maps.app.goo.gl/fcmcVYkSeykhoRVj7,12.9930006,77.5885022,cluster_2
St. Xavier's College Bengaluru,https://maps.app.goo.gl/8sHL1QAQ7RtfAtAr6,12.9876463,77.5983869,cluster_2
T John Group of Institutions,https://maps.app.goo.gl/Pfr7tY7gBZ4K5nBw5,12.974794,77.614535,cluster_2
St. Francis College,https://maps.app.goo.gl/16Pzkkdqqn2M2tQj8,12.9261471,77.630114,cluster_2
Srinivas University,https://maps.app.goo.gl/LvC8AN7vE6tLKBTd8,12.9272922,77.6303027,cluster_2
Jyoti Nivas College Autonomous,https://maps.app.goo.gl/J8vh9e6iZgtuN6mi7,12.9337389,77.6162133,cluster_2
St. Joseph's Arts and Science College,https://maps.app.goo.gl/mux4pFzYLss1QJZu6,12.9624055,77.5964362,cluster_2
Bangalore Institute of Technology,https://maps.app.goo.gl/zVC9zpssjCpT6SEu5,12.954859,77.5742242,cluster_2
The National Degree College,https://maps.app.goo.gl/5WTHW1QTezZ9EfyW7,12.9487261,77.5723597,cluster_2
BMS College of Engineering,https://maps.app.goo.gl/viPeC4NqkcvuvGvWA,12.9416151,77.5668099,cluster_2
Indian Academy Degree College - Autonomous:,https://maps.app.goo.gl/2WkqpCWTnF9D923k9,13.030133,77.635579,cluster_3
RNS INSTITUTE OF TECHNOLOGY,https://maps.app.goo.gl/k9yve7xmZkTALaBS6,12.9021902,77.518582,cluster_3
SJB Institute of Technology:,https://maps.app.goo.gl/CsGSCfBme44v4guF9,12.8998841,77.4957882,cluster_3
JSS Academy Of Technical Education,https://maps.app.goo.gl/AqaHGHLKj3oHmTLf8,12.9023888,77.5044889,cluster_3
Rajarajeswari College of Engineering,https://maps.app.goo.gl/rFDny3LCLv8gvNs57,12.8865647,77.4498116,cluster_3
Global Institute of Management Sciences College:,https://maps.app.goo.gl/FoB3N1AARY8fymN68,12.9248691,77.5228864,cluster_3
R. V. College of Engineering:,https://maps.app.goo.gl/wL95oFUwycKSLtYZ8,12.9237228,77.4987012,cluster_3
Visvesvaraya Technological University (VTU),https://maps.app.goo.gl/1jN83c3Qk8kkteij6,14.2592761,74.7900198,cluster_3
Sir M. Visvesvaraya Institute of Technology,https://maps.app.goo.gl/f7w6SPAL6HMMkFQt9,13.1510405,77.6100173,cluster_4
Nitte Meenakshi Institute of Technology,https://maps.app.goo.gl/5Froq4tEwDt7hoUk6,13.1294627,77.5876588,cluster_4
Presidency University- Computer Science and Engineering,https://maps.app.goo.gl/QkfGWZH2NVoU6ZMj8,13.1694353,77.5335006,cluster_4
REVA UNIVERSITY,https://maps.app.goo.gl/ypRkg7krnGfnccsr5,13.1168745,77.6346118,cluster_4
Brindavan College of Engineering,https://maps.app.goo.gl/C4xEFifNTbC9bfKt8,13.1247089,77.6204174,cluster_4
Indo Asian Academy Group of Institutions,https://maps.app.goo.gl/LBKr2is3RzdhrdMm7,13.0270002,77.6362062,cluster_5
"Kristu Jayanti College, Autonomous",https://maps.app.goo.gl/PLeMR3bucmaeBHwYA,13.0579425,77.6429632,cluster_5
